"gelm","length","run"
1.04255212135448,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx69.Rdata"
1.04268811766304,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx7.Rdata"
1.03501244549402,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx70.Rdata"
1.0426976380324,11001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx71.Rdata"
1.0317754368404,6001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx72.Rdata"
1.0331763210278,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx73.Rdata"
1.02056352008995,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx74.Rdata"
1.02439546327458,9001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx75.Rdata"
1.0473484297205,10001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx76.Rdata"
1.04597823405062,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx77.Rdata"
1.04832793658398,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx78.Rdata"
1.04497140455896,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx79.Rdata"
1.02857611490568,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx8.Rdata"
1.03048597582875,5001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx80.Rdata"
1.02540458565916,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx81.Rdata"
1.02692837505223,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx82.Rdata"
1.03973126300371,6001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx83.Rdata"
1.04874669405013,5001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx84.Rdata"
1.03021948359366,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx85.Rdata"
1.04206136676221,2001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx86.Rdata"
1.04406222769817,1001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx87.Rdata"
1.01202265382834,5001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx88.Rdata"
1.01555766697141,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx89.Rdata"
1.04962227319921,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx9.Rdata"
1.03128945118044,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx90.Rdata"
1.02977867317374,7001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx91.Rdata"
1.01114048470448,6001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx92.Rdata"
1.01788359545519,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx93.Rdata"
1.04181412078998,7001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx94.Rdata"
1.04944565780654,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx95.Rdata"
1.04764609995025,3001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx96.Rdata"
1.04309864668882,4001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx97.Rdata"
1.04307512013127,11001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx98.Rdata"
1.0471592614428,5001,"/media/babs/brains2/best-full-trees//squams-full-imputed-xx99.Rdata"
