"gelm","length","run"
1.04428684345364,5001,"/media/babs/brains2/imputations//squams-full-imputed-xx72.Rdata"
1.04071835340231,5001,"/media/babs/brains2/imputations//squams-full-imputed-xx73.Rdata"
1.04963398271545,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx74.Rdata"
1.03165828714723,2001,"/media/babs/brains2/imputations//squams-full-imputed-xx75.Rdata"
1.03321914645298,7001,"/media/babs/brains2/imputations//squams-full-imputed-xx76.Rdata"
1.03783084245036,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx77.Rdata"
1.03839700239069,7001,"/media/babs/brains2/imputations//squams-full-imputed-xx78.Rdata"
1.04619449456154,11001,"/media/babs/brains2/imputations//squams-full-imputed-xx79.Rdata"
1.03127194179166,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx8.Rdata"
1.02354722177554,5001,"/media/babs/brains2/imputations//squams-full-imputed-xx80.Rdata"
1.04389087264547,11001,"/media/babs/brains2/imputations//squams-full-imputed-xx81.Rdata"
1.02233952570489,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx82.Rdata"
1.03517728837038,6001,"/media/babs/brains2/imputations//squams-full-imputed-xx83.Rdata"
1.03943527338501,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx84.Rdata"
1.04221468113912,4001,"/media/babs/brains2/imputations//squams-full-imputed-xx85.Rdata"
1.02955959796202,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx86.Rdata"
1.03658027217488,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx87.Rdata"
1.02611116178874,5001,"/media/babs/brains2/imputations//squams-full-imputed-xx88.Rdata"
1.02971200288851,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx89.Rdata"
1.02962361250225,2001,"/media/babs/brains2/imputations//squams-full-imputed-xx9.Rdata"
1.01147498048813,2001,"/media/babs/brains2/imputations//squams-full-imputed-xx90.Rdata"
1.02630474642622,4001,"/media/babs/brains2/imputations//squams-full-imputed-xx91.Rdata"
1.0288935162296,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx92.Rdata"
1.02479965083445,3001,"/media/babs/brains2/imputations//squams-full-imputed-xx93.Rdata"
1.02509440742017,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx94.Rdata"
1.04834650702491,4001,"/media/babs/brains2/imputations//squams-full-imputed-xx95.Rdata"
1.0275335519903,8001,"/media/babs/brains2/imputations//squams-full-imputed-xx96.Rdata"
1.03768947719715,6001,"/media/babs/brains2/imputations//squams-full-imputed-xx97.Rdata"
1.01680568167986,4001,"/media/babs/brains2/imputations//squams-full-imputed-xx98.Rdata"
1.02785819305708,6001,"/media/babs/brains2/imputations//squams-full-imputed-xx99.Rdata"
