"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",42971.4286120583,-42166.5742452647,"base",495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",40909.0485119618,-41134.3841952165,"shift",496,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"3",39165.1821616017,-40261.4510200364,"shift",497,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"4",37990.3513034042,-39673.0355909377,"shift",498,3,1588,2248,2014,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Liopholidophis_sexlineatus","","","","","","","","","","","","","",""
"5",9105.77926325695,-24738.749570864,"censored",990,1,1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_wiedii","","","","","","","","","","","","","","","","","",""
"6",0,-19690.8599392356,"censored",1485,2,1319,1329,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_wiedii","Gyalopion_quadrangulare","Erythrolamprus_mimus","","","","","","","","","","","","","","","",""
"7",0,-19690.8599392356,"censored",1485,3,1319,1329,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Anilios_wiedii","Gyalopion_quadrangulare","Erythrolamprus_mimus","","","","","","","","","","","","","","","",""
