"aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"1",12628.5197708651,-29078.9269227911,"base",104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"2",12013.3955700349,-28770.3648223761,"shift",105,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"3",11578.1314607658,-28551.7327677415,"shift",106,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"4",11350.9679653167,-28437.1510200169,"shift",107,3,1588,2248,1585,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Sibynophis_collaris","Scaphiodontophis_venustissimus","","","","","","","","","","","","","",""
"5",4818.51209945472,-25069.923087086,"censored",208,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"6",2373.01297732872,-23743.173526023,"censored",312,2,1321,1333,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","","","","","",""
"7",0,-22452.6670373586,"censored",416,3,2472,1321,1333,NA,NA,NA,NA,NA,NA,NA,"Cercosaura_schreibersii","Alopoglossus_angulatus","Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","","","",""
