treename,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30,ProcCoord31,ProcCoord32,ProcCoord33,ProcCoord34,ProcCoord35,ProcCoord36,ProcCoord37,ProcCoord38,ProcCoord39,ProcCoord40
Thamnophis_marcianus,-0.070113923,0.064972499,0.015974758,-0.033720727,0.034376706,0.025439781,0.105004387,0.04004156,0.29703023,0.003324738,0.28890474,-0.022945867,0.347533152,-0.091359638,0.30819902,-0.082820306,0.18087128,0.019235091,-0.028600068,-0.071848995,-0.118474943,0.002036522,0.083750873,0.066689731,0.183090031,-0.058542102,-0.301909827,-0.019786988,-0.331457731,-0.027958332,-0.348667439,-0.010975629,-0.277934386,0.046697507,-0.302827061,0.032137496,-0.179345062,0.065151772,0.114595263,0.054231888
Trimorphodon_biscutatus,-0.06709639,0.065338292,0.039145206,-0.035858481,0.072756432,0.01522175,0.119504931,0.045104501,0.259485138,0.034850235,0.295312633,-0.081349944,0.307876265,-0.10378606,0.276040381,-0.104755764,0.18685881,0.03024342,-0.030660138,-0.060079131,-0.101451976,0.006807673,0.026352598,0.076560964,0.231090302,-0.027702514,-0.308437451,-0.016665221,-0.319019207,-0.03061659,-0.33800806,-0.011987816,-0.292760656,0.036453289,-0.313009579,0.034360136,-0.167319151,0.05957243,0.12333991,0.06828883
Chamaesaura_anguina,0.002970618,0.08309903,0.091170703,0.072236833,0.156865742,0.077568674,0.235443526,0.022011756,0.224096884,-0.02165236,0.196205073,-0.026179943,0.192142247,-0.083918107,0.159159577,-0.087429304,0.192736072,0.015360362,-0.08552043,-0.063077364,-0.075364372,-0.004509484,0.11742959,0.090454891,0.21834566,-0.032739528,-0.342463329,-0.050712199,-0.345255252,-0.050753099,-0.363500744,-0.046034056,-0.282317692,0.004175193,-0.311688284,-0.007410126,-0.170533776,0.045826697,0.190078188,0.063682133
Smaug_mossambicus,-0.027383653,0.085528025,0.047109265,0.047943781,0.110252527,0.084117792,0.222574973,0.053570201,0.243610087,-0.009300248,0.203191222,-0.028530373,0.184316678,-0.111646732,0.150924984,-0.105128429,0.189410738,0.017347827,-0.081952412,-0.058590454,-0.094142922,0.023205456,0.18066228,0.103585449,0.215190969,-0.033171708,-0.32454093,-0.05661923,-0.332928997,-0.055861342,-0.360292144,-0.049214669,-0.281262718,-0.002486338,-0.315149218,-0.01206585,-0.158617603,0.047174057,0.229026874,0.060142783
Basiliscus_basiliscus,-0.004207744,0.102838057,0.056397691,0.05434765,0.099677891,0.06304702,0.204026813,0.012461802,0.203335695,-0.011876422,0.18112917,-0.046258497,0.192359465,-0.103487106,0.16186073,-0.100911185,0.156410558,0.004334534,-0.080323439,-0.082311605,-0.099409554,0.03329229,0.213625448,0.170900528,0.192747657,-0.057269644,-0.324470602,-0.069191783,-0.329927704,-0.065982504,-0.363543191,-0.060069468,-0.284303591,-0.028201365,-0.29708837,-0.00111347,-0.175055577,0.056176234,0.296758654,0.129274933
Corytophanes_cristatus,-0.038255196,0.136144394,0.03566261,0.058216854,0.087758385,0.052094001,0.171749044,0.000557376,0.179076662,-0.032208714,0.160585566,-0.072482139,0.167338251,-0.133714035,0.143344883,-0.128216777,0.136105415,-0.012862596,-0.068083706,-0.087909436,-0.087942968,0.017722567,0.206123192,0.247279206,0.181960555,-0.061701319,-0.311632916,-0.075817381,-0.320071877,-0.07534715,-0.337683719,-0.07003054,-0.270664877,-0.015268223,-0.291717755,-0.026853566,-0.201514327,0.043976017,0.457862778,0.23642146
Crotaphytus_collaris,0.015220661,0.10069984,0.077362532,0.061907774,0.127575945,0.073068634,0.24719631,0.026403362,0.254299508,-0.020200467,0.21571009,-0.052174049,0.222685637,-0.107839593,0.187008206,-0.108933012,0.172627596,0.011246081,-0.041061288,-0.081825149,-0.10012249,0.030789966,0.028220165,0.111058297,0.206238783,-0.07206832,-0.331027268,-0.060306922,-0.334157393,-0.06226528,-0.350392286,-0.057544633,-0.271876197,0.019339937,-0.297747697,0.004659448,-0.166068457,0.083001732,0.138307643,0.100982355
Gambelia_wislizenii,0.01410517,0.100649513,0.109169963,0.063701067,0.140468822,0.062288305,0.220770106,0.031831976,0.21348239,0.000791202,0.188680102,-0.043918115,0.206576799,-0.111784529,0.191259287,-0.11199121,0.156621493,0.012546779,-0.050883881,-0.060666748,-0.079290136,0.02055799,0.116151157,0.104563546,0.215374103,-0.040548838,-0.349928482,-0.06148426,-0.35401909,-0.061321743,-0.373010406,-0.061253942,-0.272350017,0.007359758,-0.323551087,-0.008161926,-0.12004134,0.078636987,0.150415046,0.07820419
Cylindrophis_maculatus,-0.141976638,0.065960424,0.06532181,-0.034311802,0.10571532,0.012241308,0.217653205,0.039713341,0.257418336,-0.002982974,0.233127411,-0.022698086,0.250063456,-0.057616798,0.230402448,-0.062731522,0.194102283,-0.007600224,-0.061910722,-0.053239756,-0.143282963,0.00920146,0.128685406,0.083082178,0.211991718,-0.036566888,-0.311954453,-0.065039335,-0.320690396,-0.036683358,-0.330070107,-0.007154018,-0.253030563,0.046492384,-0.328473468,0.014578926,-0.190306323,0.054572033,0.18721424,0.060782707
Cylindrophis_ruffus,-0.147317215,0.06578286,0.068844692,-0.044290034,0.109358746,0.000496884,0.21434038,0.024391153,0.268527533,-0.007732839,0.238722117,-0.030670642,0.246675594,-0.061417696,0.231212423,-0.05389151,0.20010476,-0.004208691,-0.043263094,-0.035185995,-0.141258033,0.026421665,-0.063041338,0.076371037,0.283278913,-0.05672783,-0.304620084,-0.025901518,-0.309757049,-0.030781158,-0.322738323,-0.016707399,-0.280495115,0.028868761,-0.300625523,0.017019904,-0.170179048,0.062531894,0.222229663,0.065631156
